doc_id,adj_token_id,noun_token_id,sentence,adj_token,noun_token,noun_lemma,prenominal,adj_lower
10220200785,2,3,Dee dee dee.,dee,dee,dee,TRUE,dee
10220300932,1,2,more mommy.,more,mommy,mommy,TRUE,more
10220300934,1,2,more mommy.,more,mommy,mommy,TRUE,more
10220301011,1,2,more doggie.,more,doggie,doggie,TRUE,more
10220301446,1,3,big+bird.,big,bird,bird,FALSE,big
10220400319,1,2,bad spider.,bad,spider,spider,TRUE,bad
10220400520,1,2,bear hunt.,bear,hunt,hunt,TRUE,bear
10220400522,1,2,bear hunt.,bear,hunt,hunt,TRUE,bear
10220400546,1,2,baby baby.,baby,baby,baby,TRUE,baby
10220400548,1,2,baby baby.,baby,baby,baby,TRUE,baby
10220400576,1,2,bear hunt.,bear,hunt,hunt,TRUE,bear
10220400598,1,2,bear hunt.,bear,hunt,hunt,TRUE,bear
10220400601,1,3,bear ###.,bear,#,#,FALSE,bear
10220400623,2,3,"""bear hunt""",bear,hunt,hunt,TRUE,bear
10220400725,1,2,Splishy splashy.,Splishy,splashy,splashy,TRUE,splishy
10220400769,1,2,big mess.,big,mess,mess,TRUE,big
10220401836,1,2,baby baby.,baby,baby,baby,TRUE,baby
10220401997,1,2,hebrew songs.,hebrew,songs,song,TRUE,hebrew
10220401999,1,2,hebrew songs.,hebrew,songs,song,TRUE,hebrew
10220402030,1,2,big hat.,big,hat,hat,TRUE,big
10220402031,1,2,big hat.,big,hat,hat,TRUE,big
10220402032,1,2,big hat.,big,hat,hat,TRUE,big
10220402063,1,2,yucky monster.,yucky,monster,monster,TRUE,yucky
10220402066,1,2,yucky monster.,yucky,monster,monster,TRUE,yucky
10220402256,1,2,close eyes.,close,eyes,eye,TRUE,close
10220402260,1,2,close eyes.,close,eyes,eye,TRUE,close
10220402473,1,2,other ear.,other,ear,ear,TRUE,other
10220402483,3,4,where is other nose?,other,nose,nose,TRUE,other
10220402565,1,2,close eyes.,close,eyes,eye,TRUE,close
10220500192,6,7,and I show you a other mouse.,other,mouse,mouse,TRUE,other
10220500314,6,7,"no, this is the real train.",real,train,train,TRUE,real
10220500317,5,6,this is not a real train.,real,train,train,TRUE,real
10220500378,2,3,a little man.,little,man,man,TRUE,little
10220500635,4,5,a purple -- pink phone.,pink,phone,phone,TRUE,pink
10220500969,6,7,I can't read a big book!,big,book,book,TRUE,big
10220500995,6,2,### screw+driver's big.,big,screw,screw,FALSE,big
10220501045,1,2,little take one ###.,little,take,take,TRUE,little
10220501290,4,5,that was a big marker.,big,marker,marker,TRUE,big
10220501386,3,5,Brown ### brown ###.,brown,#,#,FALSE,brown
10220501394,3,4,it my favorite color.,favorite,color,color,TRUE,favorite
10220501395,4,5,this is my favorite color.,favorite,color,color,TRUE,favorite
10220501415,2,4,### little ### big one.,little,#,#,FALSE,little
10220501419,4,5,this is a pink cap from something.,pink,cap,cap,TRUE,pink
10220501436,4,5,where's ### pink thingy,pink,thingy,thingy,TRUE,pink
10220501474,1,2,big tail.,big,tail,tail,TRUE,big
10220501500,3,7,there's green on this ###.,green,#,#,FALSE,green
10220501506,3,4,I want hot coffee.,hot,coffee,coffee,TRUE,hot
10220501566,2,3,a little e@l.,little,e@l,e@l,TRUE,little
10220501569,2,3,### write e@l.,write,e@l,e@l,TRUE,write
10220501571,2,3,a big e@l.,big,e@l,e@l,TRUE,big
10220501595,5,6,maybe draw a -- little e@l.,little,e@l,e@l,TRUE,little
10220501601,3,5,that a big -- thing.,big,thing,thing,FALSE,big
10220501621,4,6,I need a clean a napkin.,clean,napkin,napkin,FALSE,clean
10220501721,3,4,I like French vanilla.,French,vanilla,vanilla,TRUE,french
10220501774,2,3,a little sisters or brothers.,little,sisters,sistr,TRUE,little
10220501876,5,4,these are ### bad guys.,bad,#,#,FALSE,bad
10220502200,1,3,oval ###.,oval,#,#,FALSE,oval
10220502271,4,5,is it a rectangle door ### open.,rectangle,door,door,TRUE,rectangle
10220502271,8,5,is it a rectangle door ### open.,open,door,door,FALSE,open
10220502505,4,6,maybe ### a little ###.,little,#,#,FALSE,little
10220502507,1,2,little baby.,little,baby,baby,TRUE,little
10220600021,4,5,I want my own oatmeal.,own,oatmeal,oatmeal,TRUE,own
10220600023,4,5,### want my own oatmeal!,own,oatmeal,oatmeal,TRUE,own
10220600081,2,3,"""left foot, right foot, right foot -- ###.""",left,foot,foot,TRUE,left
10220600081,5,6,"""left foot, right foot, right foot -- ###.""",right,foot,foot,TRUE,right
10220600081,8,9,"""left foot, right foot, right foot -- ###.""",right,foot,foot,TRUE,right
10220600085,4,5,"### -- ""right foot, right.""",right,foot,foot,TRUE,right
10220600091,2,3,"""dry foot.""",dry,foot,foot,TRUE,dry
10220600092,2,3,"""high foot.""",high,foot,foot,TRUE,high
10220600093,2,3,"""high foot.""",high,foot,foot,TRUE,high
10220600094,2,3,"""back feet.""",back,feet,feet,TRUE,back
10220600096,2,3,"""black feet.""",black,feet,foot,TRUE,black
10220600098,3,4,""" -- right foot.""",right,foot,foot,TRUE,right
10220600100,3,4,"""how many feet -- feet you meet!""",many,feet,foot,TRUE,many
10220600107,2,3,"""sad feet.""",sad,feet,foot,TRUE,sad
10220600110,2,3,"""sad feet Sick feet!""",sad,feet,foot,TRUE,sad
10220600110,4,5,"""sad feet Sick feet!""",Sick,feet,foot,TRUE,sick
10220600112,4,5,"""here comes clown feet!""",clown,feet,foot,TRUE,clown
10220600113,2,3,"""small feet, big feet.""",small,feet,foot,TRUE,small
10220600113,5,6,"""small feet, big feet.""",big,feet,foot,TRUE,big
10220600118,2,4,"""fuzzy fur feet!""",fuzzy,feet,foot,FALSE,fuzzy
10220600123,5,7,""" -- many, many, feet you meet!""",many,feet,foot,FALSE,many
10220600126,4,5,"""over a fair feet.""",fair,feet,foot,TRUE,fair
10220600127,4,6,""" -- and more ###.""",more,#,#,FALSE,more
10220600133,3,4,this is big feet.,big,feet,feet,TRUE,big
10220600137,3,5,I forgot blue -- feet.,blue,feet,foot,FALSE,blue
10220600158,15,10,"yeah, and -- here's ### -- ### shoes and he's a yellow and he's yellow.",yellow,shoes,shoe,FALSE,yellow
10220600158,19,10,"yeah, and -- here's ### -- ### shoes and he's a yellow and he's yellow.",yellow,shoes,shoe,FALSE,yellow
10220600173,3,4,""" -- right foot.""",right,foot,foot,TRUE,right
10220600175,4,6,"""oh how many -- feet you meet!""",many,feet,foot,FALSE,many
10220600192,4,5,I was a blue p@l.,blue,p@l,p@l,TRUE,blue
10220600228,1,2,d@l d@l!,d@l,d@l,d@l,TRUE,d@l
10220600271,4,5,now I have other book.,other,book,book,TRUE,other
10220600318,3,4,I want read books.,read,books,book,TRUE,read
10220600358,2,3,a big girl!,big,girl,girl,TRUE,big
10220600375,1,2,big w@l,big,w@l,w@l,TRUE,big
10220600378,1,2,little w@l.,little,w@l,w@l,TRUE,little
10220600533,5,7,I ### make them more ###.,more,#,#,FALSE,more
10220600825,3,5,now only few more pieces.,few,pieces,piece,FALSE,few
10220600825,4,5,now only few more pieces.,more,pieces,piece,TRUE,more
10220600880,3,5,now a few more pieces over here and over here.,few,pieces,piece,FALSE,few
10220600880,4,5,now a few more pieces over here and over here.,more,pieces,piece,TRUE,more
10220600931,3,5,we have few more pieces right here and over here ###.,few,pieces,piece,FALSE,few
10220600931,4,5,we have few more pieces right here and over here ###.,more,pieces,piece,TRUE,more
10220601039,1,3,smarty+pants.,smarty,pants,pants,FALSE,smarty
10220601113,3,4,"-- the little pig, little pig and this is ###.",little,pig,pig,TRUE,little
10220601113,6,7,"-- the little pig, little pig and this is ###.",little,pig,pig,TRUE,little
10220601386,5,6,this is my one favorite book.,favorite,book,book,TRUE,favorite
10220601397,1,2,Maisy sleepy.,Maisy,sleepy,sleepy,TRUE,maisy
10220601401,5,6,and that's me other book!,other,book,book,TRUE,other
10220601410,5,3,"hey, elephants not green they're grey.",green,elephants,elephant,FALSE,green
10220601486,6,7,this -- these are the baby herons.,baby,herons,heron,TRUE,baby
10220601491,2,3,what white things?,white,things,thing,TRUE,white
10220601561,1,2,"last time Zevvy was in school -- was in school, and he learned how to read.",last,time,time,TRUE,last
10220601569,5,6,and this is a mud water.,mud,water,water,TRUE,mud
10220601578,3,4,this is dirty water.,dirty,water,water,TRUE,dirty
10220601584,3,4,"oh, dirty water.",dirty,water,water,TRUE,dirty
10220601649,3,4,then the curvy thing here.,curvy,thing,thing,TRUE,curvy
10220601861,3,4,or a baby girl.,baby,girl,girl,TRUE,baby
10220601980,3,4,I have more food ###.,more,food,food,TRUE,more
10220601983,4,5,but I have more stuff in my bag.,more,stuff,stuff,TRUE,more
10220602015,6,7,but where's the -- red cup?,red,cup,cup,TRUE,red
10220602016,4,5,"where's the red cup, mama?",red,cup,cup,TRUE,red
10220602030,8,9,but I can't find the -- other thing.,other,thing,thing,TRUE,other
10220602065,6,7,"oh, here's the red cup!",red,cup,cup,TRUE,red
10220602073,1,4,ok ### mama?,ok,mama,mama,FALSE,ok
10220602090,4,5,there's a little bit.,little,bit,bit,TRUE,little
10220602108,1,3,first ###.,first,#,#,FALSE,first
10220602168,2,3,a soft wipe.,soft,wipe,wipe,TRUE,soft
10220602169,3,4,these are soft wipes.,soft,wipes,wipe,TRUE,soft
10220602170,3,4,these are soft wipes.,soft,wipes,wipe,TRUE,soft
10220602182,9,11,so it -- I'll go get a high+chair.,high,chair,chair,FALSE,high
10220602190,4,6,I need a little ### chair.,little,chair,chair,FALSE,little
10220602191,4,5,I need a little chair!,little,chair,chair,TRUE,little
10220602201,6,7,### get to sit the blue table.,blue,table,table,TRUE,blue
10220602218,6,7,"I move this in, ok mama?",ok,mama,mama,TRUE,ok
10220602225,6,8,"see, it's a little bit sauce ###.",little,sauce,sauce,FALSE,little
10220602237,3,4,only a big girl.,big,girl,girl,TRUE,big
10220602240,2,3,the bigger chair.,bigger,chair,chair,TRUE,bigger
10220602252,1,2,little bit.,little,bit,bit,TRUE,little
10220602301,5,6,the purple -- the purple stick.,purple,stick,stick,TRUE,purple
10220602324,6,7,or the soup and the hot soup.,hot,soup,soup,TRUE,hot
10220602327,2,3,your favorite soup.,favorite,soup,soup,TRUE,favorite
10220700158,2,3,one big toe.,big,toe,toe,TRUE,big
10220700161,3,4,and two big toes.,big,toes,toe,TRUE,big
10220700171,3,5,Molly's other big toe.,other,toe,toe,FALSE,other
10220700171,4,5,Molly's other big toe.,big,toe,toe,TRUE,big
10220700203,4,5,it's a bubble bath.,bubble,bath,bath,TRUE,bubble
10220700239,2,3,a new house.,new,house,house,TRUE,new
10220700252,3,4,are you hot mama?,hot,mama,mama,TRUE,hot
10220700346,4,5,I got a better idea!,better,idea,idea,TRUE,better
10220700362,3,4,"I got better idea, mama.",better,idea,idea,TRUE,better
10220700364,3,4,and a better idea.,better,idea,idea,TRUE,better
10220700378,4,5,I'm a little bit ### back in my ###.,little,bit,bit,TRUE,little
10220700577,3,5,"I'm hot, mama.",hot,mama,mama,FALSE,hot
10220700591,1,2,other ones!,other,ones,one,TRUE,other
10220700650,4,5,"I have a better idea, mom.",better,idea,idea,TRUE,better
10220700738,2,3,the other ones broke off.,other,ones,one,TRUE,other
10220700788,1,3,Oscar ###.,Oscar,#,#,FALSE,oscar
10220700935,7,8,this is going to be a loud noise mama.,loud,noise,noise,TRUE,loud
10220700945,3,5,my very special ###.,special,#,#,FALSE,special
10220701032,9,10,Probably got ripped ### because I was too much different.,much,different,different,TRUE,much
10220701044,3,4,I got better idea.,better,idea,idea,TRUE,better
10220701092,20,21,### say I have to keep it at school -- camp because it's going to be at my new house.,new,house,house,TRUE,new
10220701209,1,3,Sparky kitty cat.,Sparky,cat,cat,FALSE,sparky
10220701277,6,7,"yeah, this is my light saber.",light,saber,saber,TRUE,light
10220701353,1,2,little toothpicks.,little,toothpicks,toothpick,TRUE,little
10220701436,12,13,is it -- it's a -- isn't it a beautiful butter+fly?,beautiful,butter,butter,TRUE,beautiful
10220701495,4,5,this is a good idea.,good,idea,idea,TRUE,good
10220701546,6,7,but I need ### a little time --,little,time,time,TRUE,little
10220701572,6,8,that was a really really helpful ###.,helpful,#,#,FALSE,helpful
10220701612,2,3,### next page.,next,page,page,TRUE,next
10220701676,1,2,big hug.,big,hug,hug,TRUE,big
10220701710,2,3,a bigger mess!,bigger,mess,mess,TRUE,bigger
10220701779,3,5,"and a good+night, ah -- hug!",good,night,night,FALSE,good
10220800115,4,5,"no, the ladybugy bug.",ladybugy,bug,bug,TRUE,ladybugy
10220800116,1,2,Ladybugy bug.,Ladybugy,bug,bug,TRUE,ladybugy
10220800118,1,2,Ladybugy bug.,Ladybugy,bug,bug,TRUE,ladybugy
10220800140,2,4,a big green bug.,big,bug,bug,FALSE,big
10220800140,3,4,a big green bug.,green,bug,bug,TRUE,green
10220800182,2,4,a big blue fish.,big,fish,fish,FALSE,big
10220800182,3,4,a big blue fish.,blue,fish,fish,TRUE,blue
10220800211,4,5,it's a big mouse.,big,mouse,mouse,TRUE,big
10220800228,5,6,up -- a little pink pig.,pink,pig,pig,TRUE,pink
10220800245,2,4,a big ### poodles.,big,poodles,poodle,FALSE,big
10220800514,4,5,that's my funny dance.,funny,dance,dance,TRUE,funny
10220800678,3,5,in a white spotted place.,white,place,place,FALSE,white
10220800679,4,5,this is a good place.,good,place,place,TRUE,good
10220800710,1,2,clown piece.,clown,piece,piece,TRUE,clown
10220800712,4,5,is this the right match?,right,match,match,TRUE,right
10220800714,1,2,happy clown.,happy,clown,clown,TRUE,happy
10220800872,8,9,I'm -- I'm making the easy ones only.,easy,ones,one,TRUE,easy
10220800996,5,6,ears -- it has funny ears -- ears.,funny,ears,ear,TRUE,funny
