,adjective,noun,prob
0,fat,hen,0.006499765792000939
1,castle,puzzle,0.004011645372838747
2,red,hexagon,0.013818310875429276
3,red,dog,0.044974584852714466
4,glazed,window,0.004917003269093184
5,horned,viper,0.0012608222372131534
6,round,body,0.04608670265868235
7,coral,reef,0.0058486792026179795
8,girl,glass,0.005000932644214215
9,pipe,cover,6.617420187506588e-05
10,elephant,mommy,0.0001200690511451448
11,smiley,cake,9.318364746370928e-05
12,yellow,slab,0.008191540333577895
13,top,buckle,0.009546549900797799
14,green,suit,0.021658643042918275
15,green,chain,0.009988890758202392
16,purple,scissors,0.0002686143742363149
17,purple,circle,0.00026576679811974577
18,roast,marshmallow,0.0009028763153298166
19,cookie,sheet,0.0001665858728146822
20,street,corner,0.0036321580519883025
21,bath,tile,0.0004098429260179934
22,yellow,belt,0.010894044470049834
23,green,horse,0.026030106430606128
24,bed,breakfast,0.005804946697432732
25,woolly,sheep,8.549280883054896e-11
26,bald,head,0.00920912097104341
27,brown,stick,0.005526690665350189
28,bridge,piece,0.007073510730407482
29,giant,fish,0.004207586622259853
30,colored,ring,0.01030246065054457
31,farm,vehicle,0.0020165452939983185
32,yellow,zucchini,0.013736273905968117
33,strawberry,oatmeal,0.0015609527319242714
34,garlic,powder,0.0023741219073526183
35,wooden,train,0.0222346783121824
36,orange,pumpkin,0.0038217276143233656
37,pumpkin,face,8.359367745838652e-05
38,toy,basket,0.0006178982125633362
39,outside,room,0.02083126026673262
40,earth,worm,0.005819753452570104
41,fat,body,0.0035428002714195366
42,bite,mark,8.893331391682096e-05
43,snow,tire,0.001388841900190537
44,red,bag,0.032180922666979424
45,bright,light,0.1626064056673072
46,football,game,0.006794283344641305
47,navy,stripe,0.0024373275875457785
48,ear,ring,0.000540694925873398
49,room,door,0.009420369051476135
50,puzzle,piece,0.001816891900210941
51,dark,screen,0.03211845304826728
52,bear,mask,0.0013516142694013776
53,blood,test,0.006519056283729434
54,orange,necklace,0.0011636873283417317
55,pee,diaper,0.0031209340880131325
56,apple,head,0.00022994834920568786
57,room,suite,0.046253610154610166
58,strawberry,sauce,0.0025968007129570205
59,dictionary,publisher,0.002758065838459334
60,giant,sandwich,0.002514964236692218
61,riding,toy,0.0005901119692032221
62,purple,truck,0.000796789057108621
63,baby,pool,0.0006967685684502106
64,green,leaf,0.15182091289579278
65,back,side,0.013733234291899125
66,wet,shoe,0.01234833351113768
67,turkey,sty,0.0004199170648778347
