doc_id,adj_token_id,noun_token_id,sentence,adj_token,noun_token,adj_lemma,noun_lemma,prenominal
249,1,3,dee dee dee,dee,dee,dee,dee,FALSE
684,1,3,ooh xxx,ooh,xx,ooh,xx,FALSE
726,1,2,zevvy zevvy,zevvy,zevvy,zevvy,zevvy,TRUE
746,1,2,more mommy,more,mommy,more,mommy,TRUE
747,1,2,more mommy,more,mommy,more,mommy,TRUE
768,1,2,woof woof,woof,woof,woof,woof,TRUE
772,1,2,more doggie,more,doggie,more,doggie,TRUE
892,1,2,big bird,big,bird,big,bird,TRUE
948,1,2,um fall,um,fall,um,fall,TRUE
1052,2,3,xxx legs,xx,legs,xx,leg,TRUE
1055,1,2,bad spider,bad,spider,bad,spider,TRUE
1074,2,3,where spider go,spider,go,spider,go,TRUE
1131,1,2,bear hunt,bear,hunt,bear,hunt,TRUE
1132,1,2,bear hunt,bear,hunt,bear,hunt,TRUE
1139,1,2,baby baby,baby,baby,baby,baby,TRUE
1140,1,2,baby baby,baby,baby,baby,baby,TRUE
1147,1,2,bear hunt,bear,hunt,bear,hunt,TRUE
1153,1,2,bear hunt,bear,hunt,bear,hunt,TRUE
1154,1,3,bear xxx,bear,xx,bear,xx,FALSE
1155,1,3,big xxx,big,xx,big,xx,FALSE
1160,1,2,bear hunt,bear,hunt,bear,hunt,TRUE
1175,1,2,teddy bear,teddy,bear,teddy,bear,TRUE
1188,1,2,splishy splashy,splishy,splashy,splishy,splashy,TRUE
1207,1,2,big mess,big,mess,big,mess,TRUE
1229,2,3,where teddy bear,teddy,bear,teddy,bear,TRUE
1325,1,2,lawn mower,lawn,mower,lawn,mower,TRUE
1507,1,3,um xxx,um,xx,um,xx,FALSE
1580,1,2,baby baby,baby,baby,baby,baby,TRUE
1654,1,2,hebrew songs,hebrew,songs,hebrow,song,TRUE
1656,1,2,hebrew songs,hebrew,songs,hebrow,song,TRUE
1666,1,2,big hat,big,hat,big,hat,TRUE
1667,1,2,big hat,big,hat,big,hat,TRUE
1668,1,2,big hat,big,hat,big,hat,TRUE
1681,1,2,yucky monster,yucky,monster,yucky,monster,TRUE
1683,1,2,yucky monster,yucky,monster,yucky,monster,TRUE
1696,1,2,um boy,um,boy,um,boy,TRUE
1700,1,2,um doggie,um,doggie,um,doggie,TRUE
1776,1,2,close eyes,close,eyes,close,eye,TRUE
1778,1,2,close eyes,close,eyes,close,eye,TRUE
1853,1,2,other ear,other,ear,other,ear,TRUE
1857,3,4,where is other nose,other,nose,other,nose,TRUE
1892,1,2,close eyes,close,eyes,close,eye,TRUE
1906,1,4,nose gone xxx,nose,xx,nose,xx,FALSE
1906,2,4,nose gone xxx,gone,xx,go,xx,FALSE
1999,6,7,and i show you a other mouse,other,mouse,other,mouse,TRUE
2008,4,5,i like a green one,green,one,green,one,TRUE
2068,5,6,no this is the real train,real,train,real,train,TRUE
2070,5,6,this is not a real train,real,train,real,train,TRUE
2097,2,3,a little man,little,man,little,man,TRUE
2117,4,5,this is a little one,little,one,little,one,TRUE
2123,4,5,i like that little one,little,one,little,one,TRUE
2129,3,4,and that bye anielle,bye,anielle,bye,anielle,TRUE
2146,6,7,i can go on a purple one,purple,one,purple,one,TRUE
2147,4,5,xxx a little one,little,one,little,one,TRUE
2149,6,7,i can go on a big one,big,one,big,one,TRUE
2181,1,3,ow xxx,ow,xx,ow,xx,FALSE
2202,4,5,what are these xxx,x,xx,x,xx,TRUE
2224,5,6,i need a start smarty pants,smarty,pants,smarty,pants,TRUE
2226,2,3,that green one,green,one,green,one,TRUE
2233,2,4,a purple pink phone,purple,phone,purple,phone,FALSE
2233,3,4,a purple pink phone,pink,phone,pink,phone,TRUE
2245,1,2,ow foot,ow,foot,ow,foot,TRUE
2255,1,3,ow xxx,ow,xx,ow,xx,FALSE
2256,3,5,ew a brown xxx on there,brown,xx,brown,xx,FALSE
2304,7,8,no he the caterpillar's a smarty pants,smarty,pants,smarty,pants,TRUE
2327,5,6,you not doing that right mama,right,mama,right,mama,TRUE
2359,4,5,what is that xxx,x,xx,x,xx,TRUE
2368,6,7,i can't read a big book,big,book,big,book,TRUE
2386,2,3,a big one,big,one,big,one,TRUE
2388,3,4,maybe a red one,red,one,red,one,TRUE
2389,5,6,can you find a red one,red,one,red,one,TRUE
2390,5,6,you xxx a red one,red,one,red,one,TRUE
2391,3,4,or a little one,little,one,little,one,TRUE
2392,7,8,maybe you can uh find a big one,big,one,big,one,TRUE
2402,1,3,ooh xxx,ooh,xx,ooh,xx,FALSE
2408,4,5,that's a little one,little,one,little,one,TRUE
2410,6,7,it look it like the other one,other,one,other,one,TRUE
2500,4,5,it's a little one,little,one,little,one,TRUE
2528,2,3,that xxx gave me,x,xx,x,xx,TRUE
2530,2,3,that xxx gave me,x,xx,x,xx,TRUE
2535,4,5,that was a big marker,big,marker,big,marker,TRUE
2557,2,3,now green okay,green,okay,green,okay,TRUE
2591,2,3,xxx cats can do it,xx,cats,xx,cat,TRUE
2598,4,6,i xxx brown xxx like green,brown,xx,brown,xx,FALSE
2598,8,6,i xxx brown xxx like green,green,xx,green,xx,FALSE
2601,2,3,xxx brown xxx and xxx,brown,xxx,brown,xxx,TRUE
2602,1,2,brown xxx brown xxx,brown,x,bry,x,TRUE
2602,4,5,brown xxx brown xxx,brown,x,brown,x,TRUE
2607,3,4,it my favorite color,favorite,color,favorite,color,TRUE
2608,4,5,this is my favorite color,favorite,color,favorite,color,TRUE
2621,3,4,xxx little xxx big one,little,x,little,x,TRUE
2622,2,4,yeah big yellow one,big,one,big,one,FALSE
2622,3,4,yeah big yellow one,yellow,one,yellow,one,TRUE
2624,4,5,this is a pink cap from something,pink,cap,pink,cap,TRUE
2634,5,6,where's xxx pink thingy,pink,thingy,pink,thingy,TRUE
2662,1,2,big tail,big,tail,big,tail,TRUE
2679,2,3,only xxx and cats and doggies,x,xx,x,xx,TRUE
2680,3,4,is that xxx,x,xx,x,xx,TRUE
2684,3,7,there's green on this xxx,green,xx,green,xx,FALSE
2686,3,8,there's ready it's on xxx,ready,xx,ready,xx,FALSE
2688,3,4,i want hot coffee,hot,coffee,hot,coffee,TRUE
2721,2,4,a little e l,little,l,little,l,FALSE
2725,2,4,a big e l,big,l,big,l,FALSE
2732,4,5,this is a q l,q,l,q,l,TRUE
2743,4,6,maybe draw a little e l,little,l,little,l,FALSE
2747,3,4,that a big one,big,one,big,one,TRUE
2748,3,4,that a big thing,big,thing,big,thing,TRUE
2758,4,6,i need a clean a napkin,clean,napkin,clean,napkin,FALSE
2810,3,4,i like french vanilla,french,vanilla,french,vanilla,TRUE
2825,3,4,and a other baby one,other,baby,other,baby,TRUE
2833,2,3,a little sisters or brothers,little,sisters,little,sistr,TRUE
2843,3,4,maybe a giant say that,giant,say,giant,say,TRUE
2844,2,3,a giant say that,giant,say,giant,say,TRUE
2888,4,6,these are xxx bad guys,xx,guys,xx,guy,FALSE
2888,5,6,these are xxx bad guys,bad,guys,bad,guy,TRUE
2933,4,5,what is this xxx,x,xx,x,xx,TRUE
2942,4,5,where is that puzzle thing,puzzle,thing,puzzle,thing,TRUE
2975,4,5,this is xxx cherry,xx,cherry,xx,cherry,TRUE
3001,2,3,it xxx coming a little,x,xx,x,xx,TRUE
3006,6,7,i xxx show the other one,other,one,other,one,TRUE
3007,2,3,the other one,other,one,other,one,TRUE
3031,1,3,oval xxx,oval,xx,oval,xx,FALSE
3060,8,5,is it a rectangle door xxx open,open,door,open,door,FALSE
3107,4,5,this is her xxx ups closet,x,xx,x,xx,TRUE
3155,3,4,these are ear rings,ear,rings,ear,ring,TRUE
3160,3,4,i have ear rings now,ear,rings,ear,ring,TRUE
3185,5,7,maybe xxx a little xxx,little,xx,little,xx,FALSE
3187,1,2,little baby,little,baby,little,baby,TRUE
3199,4,5,i want my own oatmeal,own,oatmeal,own,oatmeal,TRUE
3200,4,5,xxx want my own oatmeal,own,oatmeal,own,oatmeal,TRUE
3226,3,5,left foot right foot xxx,right,x,right,x,FALSE
3230,2,3,xxx right foot right,right,foot,right,foot,TRUE
3233,1,2,dry foot,dry,foot,dry,foot,TRUE
3234,1,2,high foot,high,foot,high,foot,TRUE
3235,1,2,high foot,high,foot,high,foot,TRUE
3236,1,2,back feet,back,feet,back,feet,TRUE
3238,1,2,black feet,black,feet,black,foot,TRUE
3239,1,2,right foot,right,foot,right,foot,TRUE
3241,2,3,how many feet you meet,many,feet,many,foot,TRUE
3243,1,2,sad feet,sad,feet,sad,foot,TRUE
3245,1,2,sad feet sick feet,sad,feet,sad,foot,TRUE
3245,3,4,sad feet sick feet,sick,feet,sick,foot,TRUE
3246,1,2,down feet,down,feet,down,feet,TRUE
3247,3,4,here comes clown feet,clown,feet,clown,foot,TRUE
3248,1,2,small feet big feet,small,feet,small,foot,TRUE
3248,3,4,small feet big feet,big,feet,big,foot,TRUE
3251,1,3,fuzzy fur feet,fuzzy,feet,fuzzy,feet,FALSE
3254,1,2,many feet you meet,many,feet,many,foot,TRUE
3256,3,4,over a fair feet,fair,feet,fair,foot,TRUE
3257,3,4,and more xxx,x,xx,x,xx,TRUE
3261,3,4,this is big feet,big,feet,big,feet,TRUE
3263,3,4,i forgot blue feet,blue,feet,blue,foot,TRUE
3271,3,4,and a other one has green and another one,other,one,other,one,TRUE
3277,1,2,right foot,right,foot,right,foot,TRUE
3279,3,4,oh how many feet you meet,many,feet,many,foot,TRUE
3288,4,5,i was a blue p l,blue,p,blue,p,TRUE
3300,1,2,d l,d,l,would,l,TRUE
3308,1,2,d l,d,l,would,l,TRUE
3317,4,5,now i have other book,other,book,other,book,TRUE
